crn_number,subject,course_number,title,cred_number,typekey,days,times,lockey_number,lockey,instructor,seats_number,totenrl_number
10854,FLM,216.101,Intro to Film,3,LEC,M W F,10:00AM- 10:50AM,218,HUM 218,Harlacher J,35,35
10856,FLM,216.102,Intro to Film,3,LEC,M W F,11:00AM- 11:50AM,218,HUM 218,Harlacher J,35,1
10858,FLM,216.103,Intro to Film,3,LEC,T R,09:30AM- 10:45AM,218,HUM 218,Olney A,35,10
10860,FLM,216.104,Intro to Film,3,LEC,T R,12:30PM- 01:45PM,218,HUM 218,Olney A,35,21
11288,FLM,344.101,World Cinema,3,LEC,T R,02:00PM- 03:15PM,218,HUM 218,Olney A,25,12
10455,FIN,300.101,Managrl Finance I,3,LEC,M W F,10:00AM- 10:50AM,221,WBC 221,Madhogarhia P,30,25
10457,FIN,300.102,Managrl Finance I,3,LEC,T R,12:30PM- 01:45PM,221,WBC 221,Forjan J,30,18
10459,FIN,300.103,Managrl Finance I,3,LEC,T R,03:30PM- 04:45PM,221,WBC 221,Herzberger R,30,5
10460,FIN,300.801,Managrl Finance I,3,LEC,T R,05:00PM- 06:15PM,221,WBC 221,Sadowski N,30,8
10462,FIN,310.801,Real Estate Finance,3,LEC,T,06:30PM- 09:15PM,225,WBC 225,Gregory T,25,8
10464,FIN,320.101,Investments,3,LEC,T R,08:00AM- 09:15AM,221,WBC 221,Forjan J,25,5
10465,FIN,320.102,Investments,3,LEC,T R,09:30AM- 10:45AM,221,WBC 221,Forjan J,25,18
10467,FIN,330.801,Risk Mgmt/Insurance,3,LEC,M,06:30PM- 09:15PM,221,WBC 221,Murphy T,30,12
10469,FIN,340.801,Financial Institutions,3,LEC,W,06:30PM- 09:15PM,221,WBC 221,Madhogarhia P,30,11
10128,RT,105.101,Medical Terminology,1,LEC,M,10:00AM- 10:50AM,203,CH 203,Werner C,20,5
10129,RT,105.801,Medical Terminology,1,LEC,M,05:00PM- 05:50PM,221,CH 221,Werner C,20,13
10130,RT,110.101,Oxy Ther and CPR,3,L/L,T R,12:30PM- 01:45PM,,HOS,Simmons M,13,1
,,,,,,T,02:00PM- 03:15PM,,,,,0
10131,RT,115.101,Bronchopul Hygiene,3,L/L,M W F,01:00PM- 01:50PM,,HOS,Newberry R,13,1
,,,,,,F,11:00AM- 12:30PM,,,,,0
10132,RT,130.101,Pulmonary Disease,3,LEC,M W,11:00AM- 12:15PM,,HOS,Newberry R,20,11
10133,RT,150.101,Clinical Pract A,1,CLN,M W,06:45AM- 10:30AM,,HOS,Simmons M,6,5
10134,RT,150.102,Clinical Pract A,1,CLN,T R,06:45AM- 10:30AM,,HOS,Newberry R,6,4
10135,RT,260.101,Clin Prac V,1,CLN,M W,06:45AM- 10:30AM,,HOS,Simmons M,6,6
10136,RT,260.102,Clin Prac V,1,CLN,T R,06:45AM- 10:30AM,,HOS,Newberry R,6,0
10137,RT,320.101,Pulm Physio,3,LEC,T R,11:00AM- 12:15PM,,HOS,Simmons M,12,12
10138,RT,410.101,Ind Study Resp Ther,1,LEC,TO BE ARRANGED,TO BE ARRANGED,,HOS,Simmons M,12,11
10139,RT,415.101,Clin Prac IX,1,CLN,TO BE ARRANGED,TO BE ARRANGED,,HOS,Newberry R,12,2
10140,RT,420.101,Clin Prac X,1,CLN,TO BE ARRANGED,TO BE ARRANGED,,HOS,Simmons M,12,3
10141,RT,450.101,Resp Ther Seminar,2,LEC,T R,09:30AM- 10:45AM,,HOS,Simmons M,12,0
10924,PHL,221.101,Intro Philosophy,3,LEC,M W F,09:00AM- 09:50AM,141,HUM 141,Taylor V,35,14
10925,PHL,221.102,Intro Philosophy,3,LEC,M W F,10:00AM- 10:50AM,141,HUM 141,Layman D,35,14
10930,PHL,221.103,Intro Philosophy,3,LEC,M W F,01:00PM- 01:50PM,129,HUM 129,Layman D,35,23
10942,PHL,221.104,Intro Philosophy,3,LEC,T R,08:00AM- 09:15AM,130,HUM 130,Cleary R,35,12
10945,PHL,221.105,Intro Philosophy,3,LEC,T R,09:30AM- 10:45AM,236,CH 236,Cleary R,35,4
10947,PHL,221.106,Intro Philosophy,3,LEC,T R,12:30PM- 01:45PM,141,HUM 141,Ciocco G,35,32
10950,PHL,222.101,Critical Thinking,3,LEC,M W F,11:00AM- 11:50AM,127,HUM 127,Bradnick D,25,9
10953,PHL,222.102,Critical Thinking,3,LEC,M W F,12:00PM- 12:50PM,223,CH 223,Catt I,25,20
10955,PHL,222.103,Critical Thinking,3,LEC,M W F,01:00PM- 01:50PM,223,CH 223,Catt I,25,23
10957,PHL,222.104,Critical Thinking,3,LEC,M W F,02:00PM- 02:50PM,143,HUM 143,Bradnick D,25,2
10959,PHL,222.105,Critical Thinking,3,LEC,T R,09:30AM- 10:45AM,206,HUM 206,Rodkey C,25,17
10962,PHL,222.106,Critical Thinking,3,LEC,T R,12:30PM- 01:45PM,304,CH 304,Staff,25,7
10964,PHL,222.107,Critical Thinking,3,LEC,T R,02:00PM- 03:15PM,304,CH 304,Staff,25,19
10967,PHL,223.101,Contemp Moral Prob,3,LEC,T R,12:30PM- 01:45PM,230,HUM 230,Sharif R,35,16
10970,PHL,224.101,Being Human,3,LEC,T R,12:30PM- 01:45PM,127,HUM 127,Weiss D,25,21
10985,PHL,231.101,Logic,3,LEC,M W F,10:00AM- 10:50AM,128,HUM 128,Johnson M,25,4
10994,PHL,231.102,Logic,3,LEC,M W F,01:00PM- 01:50PM,141,HUM 141,Bradnick D,25,4
10998,PHL,231.801,Logic,3,LEC,M,06:30PM- 09:15PM,142,HUM 142,Gorman B,25,3
11000,PHL,235.101,Ancient/Early Mod,3,LEC,T R,11:00AM- 12:15PM,304,CH 304,Ciocco G,25,12
11002,PHL,240.101,Environmentl Ethics,3,LEC,T R,02:00PM- 03:15PM,207,HUM 207,Sharif R,25,1
11291,PHL,396.101,Animal/Machine Minds,3,LEC,T R,02:00PM- 03:15PM,130,HUM 130,Weiss D,25,1
