Term,CRN,Subject,Course Number,TITLE,CREDIT_HOURS,Type,LOC,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Primary Instructor
Fall 2016,10001,FYS,100.101,UTOPIA/DYSTOPIA,3,LEC,HUM 204,M,,W,,F,,,"Taylor, Tammy"
Fall 2016,10002,FYS,100.102,CULTURE:  SAME/DIFF,3,LEC,HUM 205,M,,W,,F,,,"Fyfe, David"
Fall 2016,10003,FYS,100.103,FOOTPRINTS SILICON,3,LEC,LIBRY 7,M,,W,,F,,,"Kline, Vickie"
Fall 2016,10004,FYS,100.104,ANIMAL RIGHTS/RESPN,3,LEC,CH 228,M,,W,,F,,,"Houghton, Valerie"
Fall 2016,10005,FYS,100.105,"WORK, PLAY, LEARN",3,LEC,LS 128,M,,W,,F,,,"Malcarne, Brian"
Fall 2016,10006,FYS,100.106,A MUSICAL LIFE,3,LEC,WOLF 104,M,,W,,F,,,"Muzzo, Grace"
Fall 2016,10007,FYS,100.107,ANIMAL RIGHTS/RESPN,3,LEC,CH 228,M,,W,,F,,,"Houghton, Valerie"
Fall 2016,10008,FYS,100.108,WHO AM I (HERE)?,3,LEC,CH 236,M,,W,,F,,,"Carsey, Kerrie"
Fall 2016,10009,FYS,100.109,WHO AM I? WHAT AM I?,3,LEC,HUM 205,M,,W,,F,,,"Weiss, Dennis"
Fall 2016,10010,FYS,100.11,FOOD CHOICES,3,LEC,HUM 141,M,,W,,F,,,"McAdams, Kay"
Fall 2016,10011,FYS,100.111,"WORK, PLAY, LEARN",3,LEC,LS 128,M,,W,,F,,,"Malcarne, Brian"
Fall 2016,10012,FYS,100.112,WHO AM I? WHAT AM I?,3,LEC,HUM 143,M,,W,,F,,,"Weiss, Dennis"
Fall 2016,10013,FYS,100.113,WHAT AM I MADE OF?,3,LEC,CH 236,M,,W,,F,,,"Waddell, Samuel"
Fall 2016,10014,FYS,100.114,INTERFACING VISUAL,3,LEC,HUM 142,M,,W,,F,,,"Gulden, Leslie"
Fall 2016,10015,FYS,100.115,RACE JUSTICE AMERICA,3,LEC,HUM 144,M,,W,,,,,"Levy, Peter"
Fall 2016,10016,FYS,100.116,YORK:  COMM AND YOU,3,LEC,LS 126,M,,W,,,,,"Hesson, Nicole"
Fall 2016,10017,FYS,100.117,LIVING SMALL,3,LEC,WBC 314,,T,,R,,,,"Slaysman, Kenneth"
Fall 2016,10018,FYS,100.118,"BEASTS, BUGS, FISHES",3,LEC,HUM 142,,T,,R,,,,"Vause, Deborah"
Fall 2016,10019,FYS,100.119,"BEASTS, BUGS, FISHES",3,LEC,HUM 142,,T,,R,,,,"Vause, Deborah"
Fall 2016,10020,FYS,100.12,WOMEN IN SPORT,3,LEC,WOLF 314,,T,,R,,,,"Sauder, Molly"
Fall 2016,10021,FYS,100.121,POTTER PHENOMENON,3,LEC,HUM 129,,T,,R,,,,"Polites, Eva"
Fall 2016,10022,FYS,100.122,THE ART OF GENIUS,3,LEC,WOLF 314,,T,,R,,,,"Delle, Suzanne"
Fall 2016,10023,FYS,100.123,DISNEY/GROWNUPS,3,LEC,HUM 207,,T,,R,,,,"Creagh, Cynthia"
Fall 2016,10024,FYS,100.124,POTTER PHENOMENON,3,LEC,HUM 130,,T,,R,,,,"Polites, Eva"
Fall 2016,10025,FYS,100.125,THE AMERICAN DREAM,3,LEC,HUM 141,,T,,R,,,,"Ellsworth, Brant"
Fall 2016,10026,FYS,100.126,ENERGY/ENVIRON/SUSTA,3,LEC,CH 229,,T,,R,,,,"Meah, Kala"
Fall 2016,10027,FYS,100.127,FOR THE LOVE OF JAVA,3,LEC,CH 229,,T,,R,,,,"Gordon, Raymond"
Fall 2016,10028,FYS,100.128,CREATIVE COMPUTING,3,LEC,KEC 129,,T,,R,,,,"Hovemeyer, David"
Fall 2016,10029,FYS,100.129,SIZE ACCEPTANCE,3,LEC,HUM 205,,T,,R,,,,"Smith, Erec"
Fall 2016,10030,FYS,100.13,HERO'S JOURNEY,3,LEC,HUM 206,,T,,R,,,,"Herdson, Nickolena"
Fall 2016,10031,FYS,100.131,HERO'S JOURNEY,3,LEC,CH 205,,T,,R,,,,"Herdson, Nickolena"
Fall 2016,10032,FYS,100.132,ENERGY/ENVIRON/SUSTAIN,3,LEC,LS 129,,T,,R,,,,"Meah, Kala"
Fall 2016,10033,FYS,100.133,ATTITUDE  TO ALTITUDE,3,LEC,HUM 144,,T,,R,,,,"Hess, Lisa"
Fall 2016,10034,FYS,101.801,ENTREPRENEUR THINK,3,LEC,RUDY ART,,T,,,,,,"Casey, Erin"
Fall 2016,10035,FYS,110.101,Educ/Today's Society,3,LEC,LS 125,M,,W,,F,,,"Hesson, Nicole"
Fall 2016,10036,BIO,112.101,Essentials of A & P,3,L/L,CH 205,M,,W,,,,,"Werner, Connie"
Fall 2016,10037,BIO,112.102,Essentials of A & P,3,L/L,CH 205,M,,W,,,,,"Werner, Connie"
Fall 2016,10038,BIO,112.801,Essentials of A & P,3,L/L,LS 201,M,,,,,,,"Werner, Connie"
Fall 2016,10039,BIO,142.101,Molecule/Gene/Cell,4,L/L,CH 228,M,,W,,F,,,"Boehmler, Wendy"
Fall 2016,10040,BIO,142.102,Molecule/Gene/Cell,4,L/L,CH 223,M,,W,,,,,"Botyrius, Anthony"
Fall 2016,10041,BIO,142.103,Molecule/Gene/Cell,4,L/L,CH 223,,T,,R,,,,"Higa, Meda"
Fall 2016,10042,BIO,142.104,Molecule/Gene/Cell,4,L/L,CH 223,,T,,R,,,,"Higa, Meda"
Fall 2016,10043,BIO,150.101,Intro Molecular Bio,4,LEC,LS 128,M,,W,,F,,,"Higa, Meda"
Fall 2016,10044,BIO,150.102,Intro Molecular Bio,4,LEC,LS 125,M,,W,,F,,,"Boehmler, Wendy"
Fall 2016,10045,BIO,150.103,Intro Molecular Bio,4,LEC,LS 128,M,,W,,F,,,"Boehmler, Wendy"
Fall 2016,10046,BIO,150.104,Intro Molecular Bio,4,LEC,CH 228,M,,W,,F,,,"Boehmler, Wendy"
Fall 2016,10048,BIO,150.801,Intro Molecular Bio,4,LEC,LS 125,,T,,,,,,"Botyrius, Anthony"
Fall 2016,10049,BIO,151.501,Intro Mole Bio Lab,0,LAB,LS 239,,T,,,,,,"Botyrius, Anthony"
Fall 2016,10050,BIO,151.502,Intro Mole Bio Lab,0,LAB,LS 239,,,,R,,,,"Boehmler, Wendy"
Fall 2016,10052,BIO,151.503,Intro Mole Bio Lab,0,LAB,LS 239,,,,,F,,,"Thompson, Jeffrey"
Fall 2016,10053,BIO,151.504,Intro Mole Bio Lab,0,LAB,LS 239,,,,,F,,,"Higa, Meda"
Fall 2016,10054,BIO,151.505,Intro Mole Bio Lab,0,LAB,LS 239,,,,,F,,,"Botyrius, Anthony"
Fall 2016,10055,BIO,152.101,Evol/Ecol & Divers,4,L/L,CH 236,M,,W,,F,,,"Nolan, Jessica"
Fall 2016,10056,BIO,200.101,Intro Sci Rsrch,3,LEC,LS 128,,T,,R,,,,"Rehnberg, Bradley"
Fall 2016,10057,BIO,201.101,Medical Terminology,3,LEC,CH 203,M,,W,,F,,,"Werner, Connie"
Fall 2016,10058,BIO,201.801,Medical Terminology,3,LEC,CH 203,,T,,,,,,"Werner, Connie"
Fall 2016,10059,BIO,202.801,Pharmacology,1,LEC,CH 221,,,W,,,,,"Werner, Connie"
Fall 2016,10060,BIO,204.101,Exploring Biology,3,L/L,LS 127,M,,W,,,,,"Hagerty, Bridgette"
Fall 2016,10061,BIO,204.102,Exploring Biology,3,L/L,CH 302,M,,W,,,,,"Wilt, Jennifer"
Fall 2016,10062,BIO,204.103,Exploring Biology,3,L/L,LS 129,M,,W,,,,,"Young, Gretchen"
Fall 2016,10063,BIO,204.104,Exploring Biology,3,L/L,LS 125,M,,W,,,,,"Staff, "
Fall 2016,10064,BIO,204.105,Exploring Biology,3,L/L,CH 205,,T,,R,,,,"Wilt, Jennifer"
Fall 2016,10065,BIO,204.106,Exploring Biology,3,L/L,HUM 140,,T,,R,,,,"Young, Gretchen"
Fall 2016,10066,BIO,220.102,Human A/P I,4,LEC,CH 223,M,,W,,,,,"Georgi, Sean"
Fall 2016,10067,BIO,220.101,Human A/P I,4,LEC,WOLF 317,M,,W,,F,,,"Hodgson, Elizabeth"
Fall 2016,10068,BIO,220.103,Human A/P I,4,LEC,LS 127,,T,,R,,,,"Patton, Bobbi"
Fall 2016,10069,BIO,220.104,Human A/P I,4,LEC,HUM 205,,T,,R,,,,"Georgi, Sean"
Fall 2016,10070,BIO,221.501,Human A/P I Lab,0,LAB,LS 216,,,,R,,,,"Hodgson, Elizabeth"
Fall 2016,10071,BIO,221.502,Human A/P I Lab,0,LAB,LS 216,,,,R,,,,"Georgi, Sean"
Fall 2016,10072,BIO,221.503,Human A/P I Lab,0,LAB,LS 216,,,,R,,,,"Staff, "
Fall 2016,10073,BIO,221.504,Human A/P I Lab,0,LAB,LS 216,,,,,F,,,"Patton, Bobbi"
Fall 2016,10074,BIO,221.505,Human A/P I Lab,0,LAB,LS 216,,,,,F,,,"Georgi, Sean"
Fall 2016,10075,BIO,222.101,Human A/P II,4,LEC,WOLF 317,M,,W,,F,,,"Hodgson, Elizabeth"
Fall 2016,10076,BIO,222.102,Human A/P II,4,LEC,WOLF 317,M,,W,,F,,,"Hodgson, Elizabeth"
Fall 2016,10077,BIO,222.103,Human A/P II,4,LEC,LS 125,M,,W,,F,,,"Patton, Bobbi"
Fall 2016,10078,BIO,222.104,Human A/P II,4,LEC,LS 128,M,,W,,F,,,"Patton, Bobbi"
Fall 2016,10079,BIO,222.105,Human A/P II,4,LEC,CH 223,,T,,R,,,,"Georgi, Sean"
Fall 2016,10080,BIO,223.501,Hum A/P II Lab,0,LAB,LS 216,M,,,,,,,"Hodgson, Elizabeth"
Fall 2016,10081,BIO,223.502,Hum A/P II Lab,0,LAB,LS 216,M,,,,,,,"Patton, Bobbi"
Fall 2016,10082,BIO,223.503,Hum A/P II Lab,0,LAB,LS 216,,T,,,,,,"Hodgson, Elizabeth"
Fall 2016,10083,BIO,223.504,Hum A/P II Lab,0,LAB,LS 216,,T,,,,,,"Patton, Bobbi"
Fall 2016,10084,BIO,223.505,Hum A/P II Lab,0,LAB,LS 216,,,W,,,,,"Patton, Bobbi"
Fall 2016,10085,BIO,223.506,Hum A/P II Lab,0,LAB,LS 216,,,W,,,,,"Hodgson, Elizabeth"
Fall 2016,10086,BIO,230.101,Microbio/Allied Hlth,4,LEC,LS 129,M,,W,,F,,,"Gray, Brian"
Fall 2016,10087,BIO,230.102,Microbio/Allied Hlth,4,LEC,CH 232,M,,W,,F,,,"Singleton, David"
Fall 2016,10088,BIO,230.103,Microbio/Allied Hlth,4,LEC,CH 231,M,,W,,F,,,"Singleton, David"
Fall 2016,10089,BIO,230.104,Microbio/Allied Hlth,4,LEC,CH 103,M,,W,,F,,,"Singleton, David"
Fall 2016,10090,BIO,231.501,Micro/Allied Lab,0,LAB,LS 211,,,W,,,,,"Singleton, David"
Fall 2016,10091,BIO,231.502,Micro/Allied Lab,0,LAB,LS 211,,,W,,,,,"Gray, Brian"
Fall 2016,10095,BIO,231.506,Micro/Allied Lab,0,LAB,LS 211,,,,R,,,,"Singleton, David"
Fall 2016,10096,BIO,231.503,Micro/Allied Lab,0,LAB,LS 211,,,W,,,,,"Staff, "
Fall 2016,10097,BIO,231.504,Micro/Allied Lab,0,LAB,LS 211,,,,R,,,,"Kaltreider, Ronald"
Fall 2016,10098,BIO,231.505,Micro/Allied Lab,0,LAB,LS 211,,,,R,,,,"Singleton, David"
Fall 2016,10099,BIO,240.101,Genetics,4,LEC,LS 126,M,,W,,F,,,"Kaltreider, Ronald"
Fall 2016,10100,BIO,240.102,Genetics,4,LEC,CH 203,M,,W,,F,,,"Kaltreider, Ronald"
Fall 2016,10101,BIO,241.501,Genetics Lab,0,LAB,LS 235,M,,,,,,,"Kaltreider, Ronald"
Fall 2016,10102,BIO,241.502,Genetics Lab,0,LAB,LS 235,,,,,F,,,"Kaltreider, Ronald"
Fall 2016,10103,BIO,290.101,Biostatistics,3,LEC,LIBRY 39,,T,,R,,,,"Hagerty, Bridgette"
Fall 2016,10104,BIO,290.102,Biostatistics,3,LEC,LIBRY 39,,T,,R,,,,"Hagerty, Bridgette"
Fall 2016,10105,BIO,300.101,Ecology,4,L/L,CH 223,,T,,R,,,,"Kleiner, Karl"
Fall 2016,10106,BIO,304.101,Botany,4,L/L,LS 125,,T,,R,,,,"Kleiner, Karl"
Fall 2016,10107,BIO,308.101,Animal Physlgy,4,L/L,LS 126,M,,W,,F,,,"Rehnberg, Bradley"
Fall 2016,10108,BIO,324.101,Marine Ecol/Chesapk,4,L/L,LS 125,,T,,R,,,,"Nolan, Jessica"
Fall 2016,10109,BIO,330.101,Microbiology,4,L/L,WBC 310,M,,W,,F,,,"Gray, Brian"
Fall 2016,10110,BIO,350.101,Biochemistry I,4,LEC,CH 236,,T,,R,,,,"Thompson, Jeffrey"
Fall 2016,10111,BIO,350.102,Biochemistry I,4,LEC,LS 129,,T,,R,,,,"Thompson, Jeffrey"
Fall 2016,10112,BIO,350.103,Biochemistry I,4,LEC,CH 236,,T,,R,,,,"Thompson, Jeffrey"
Fall 2016,10113,BIO,351.501,Biochem I Lab,0,LAB,LS 235,,,W,,,,,"Thompson, Jeffrey"
Fall 2016,10114,BIO,351.502,Biochem I Lab,0,LAB,LS 235,,,W,,,,,"Thompson, Jeffrey"
Fall 2016,10115,BIO,351.503,Biochem I Lab,0,LAB,LS 235,,,W,,,,,"Thompson, Jeffrey"
Fall 2016,10116,BIO,390.101,Junior Thesis,2,LEC,LS 214,M,,,,,,,"Gray, Brian"
Fall 2016,10117,BIO,390.102,Junior Thesis,2,LEC,LS 235,M,,,,,,,"Kleiner, Karl"
Fall 2016,10118,BIO,400.101,Senior Thesis,1,LEC,LS 125,M,,,,,,,"Boehmler, Wendy"
Fall 2016,10119,BIO,400.102,Senior Thesis,1,LEC,LS 126,M,,,,,,,"Thompson, Jeffrey"
Fall 2016,10120,BIO,400.103,Senior Thesis,1,LEC,LS 127,M,,,,,,,"Hagerty, Bridgette"
Fall 2016,10121,BIO,400.104,Senior Thesis,1,LEC,LS 128,M,,,,,,,"Higa, Meda"
Fall 2016,10122,PMD,110.101,Famly Med Grand Rnd,1,LEC,HOS ,,,,R,,,,"Daly, Richard"
